# Content: <DELAY_IN_SAMPLES> | <NORMALIZATION_FACTOR> | <PATH_TO_WAV_FILE>
# fields are separated by '|'
# Lines starting with '#' (comments) will be ignored
419160|0.0531871|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-13.wav
359760|0.0290386|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-23.wav
326040|0.0246647|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-16.wav
426720|0.0627124|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-3.wav
421560|-0.0443238|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-8.wav
645000|-0.0518827|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-25.wav
410880|0.030037|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-11.wav
304800|0.040686|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-25.wav
409200|0.0388574|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-10.wav
372300|0.112571|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-12.wav
426600|-0.0757909|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-3.wav
437640|0.119969|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-7.wav
432420|0.0693733|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-25.wav
416400|0.0314058|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-29.wav
452460|0.0525315|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-30.wav
456120|-0.088853|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-31.wav
468300|-0.027701|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-11.wav
408660|-0.0260192|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-19.wav
455940|0.113163|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-31.wav
412380|0.0315202|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-20.wav
430980|-0.0693066|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-9.wav
455820|-0.123578|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-31.wav
372480|-0.131688|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-12.wav
430320|-0.0627662|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-6.wav
359940|-0.0348974|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-23.wav
445020|-0.0679033|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-24.wav
