# Content: <DELAY_IN_SAMPLES> | <NORMALIZATION_FACTOR> | <PATH_TO_WAV_FILE>
# fields are separated by '|'
# Lines starting with '#' (comments) will be ignored
33400|0.0187322|/home/afr/Desktop/cage-songbooks/jolana/blob-14.wav
92240|0.213016|/home/afr/Desktop/cage-songbooks/jolana/blob-25.wav
89440|0.665779|/home/afr/Desktop/cage-songbooks/jolana/blob-17.wav
90560|-0.117914|/home/afr/Desktop/cage-songbooks/jolana/blob-33.wav
88720|0.12494|/home/afr/Desktop/cage-songbooks/jolana/blob-5.wav
74960|0.203048|/home/afr/Desktop/cage-songbooks/jolana/blob-27.wav
46440|-0.0275991|/home/afr/Desktop/cage-songbooks/jolana/blob-11.wav
86800|0.401822|/home/afr/Desktop/cage-songbooks/jolana/blob-28.wav
81560|-0.12004|/home/afr/Desktop/cage-songbooks/jolana/blob-1.wav
93880|-0.155669|/home/afr/Desktop/cage-songbooks/jolana/blob-12.wav
87840|-0.0841092|/home/afr/Desktop/cage-songbooks/jolana/blob-33.wav
88640|0.130789|/home/afr/Desktop/cage-songbooks/jolana/blob-5.wav
72600|0.130264|/home/afr/Desktop/cage-songbooks/jolana/blob-27.wav
105480|-0.234761|/home/afr/Desktop/cage-songbooks/jolana/blob-32.wav
85600|0.218989|/home/afr/Desktop/cage-songbooks/jolana/blob-34.wav
94480|-0.0875321|/home/afr/Desktop/cage-songbooks/jolana/blob-36.wav
43720|-0.0278141|/home/afr/Desktop/cage-songbooks/jolana/blob-11.wav
90080|0.0500579|/home/afr/Desktop/cage-songbooks/jolana/blob-20.wav
94560|-0.081621|/home/afr/Desktop/cage-songbooks/jolana/blob-36.wav
91960|0.107216|/home/afr/Desktop/cage-songbooks/jolana/blob-22.wav
84920|-0.0879855|/home/afr/Desktop/cage-songbooks/jolana/blob-8.wav
94240|0.0671096|/home/afr/Desktop/cage-songbooks/jolana/blob-36.wav
78200|-0.148953|/home/afr/Desktop/cage-songbooks/jolana/blob-12.wav
80120|0.124542|/home/afr/Desktop/cage-songbooks/jolana/blob-4.wav
93760|0.561731|/home/afr/Desktop/cage-songbooks/jolana/blob-24.wav
88800|-0.104396|/home/afr/Desktop/cage-songbooks/jolana/blob-26.wav
90440|-0.0918094|/home/afr/Desktop/cage-songbooks/jolana/blob-19.wav
81960|-0.129654|/home/afr/Desktop/cage-songbooks/jolana/blob-15.wav
94520|0.324546|/home/afr/Desktop/cage-songbooks/jolana/blob-40.wav
96160|0.134915|/home/afr/Desktop/cage-songbooks/jolana/blob-12.wav
76640|0.0693661|/home/afr/Desktop/cage-songbooks/jolana/blob-27.wav
78160|0.0419971|/home/afr/Desktop/cage-songbooks/jolana/blob-20.wav
70640|0.0971501|/home/afr/Desktop/cage-songbooks/jolana/blob-26.wav
64960|-0.0408921|/home/afr/Desktop/cage-songbooks/jolana/blob-13.wav
84280|-0.0896708|/home/afr/Desktop/cage-songbooks/jolana/blob-12.wav
85840|0.0691269|/home/afr/Desktop/cage-songbooks/jolana/blob-22.wav
74840|-0.244413|/home/afr/Desktop/cage-songbooks/jolana/blob-40.wav
64440|0.161668|/home/afr/Desktop/cage-songbooks/jolana/blob-25.wav
38520|-0.0181384|/home/afr/Desktop/cage-songbooks/jolana/blob-11.wav
90400|-0.0677828|/home/afr/Desktop/cage-songbooks/jolana/blob-36.wav
70720|0.0402717|/home/afr/Desktop/cage-songbooks/jolana/blob-14.wav
99760|0.0346796|/home/afr/Desktop/cage-songbooks/jolana/blob-33.wav
88600|-0.192802|/home/afr/Desktop/cage-songbooks/jolana/blob-30.wav
79680|-0.113929|/home/afr/Desktop/cage-songbooks/jolana/blob-35.wav
67920|-0.0911108|/home/afr/Desktop/cage-songbooks/jolana/blob-4.wav
78000|0.034923|/home/afr/Desktop/cage-songbooks/jolana/blob-20.wav
76680|0.0671578|/home/afr/Desktop/cage-songbooks/jolana/blob-27.wav
43760|-0.0595869|/home/afr/Desktop/cage-songbooks/jolana/blob-39.wav
45240|-0.0551082|/home/afr/Desktop/cage-songbooks/jolana/blob-39.wav
85920|-0.105906|/home/afr/Desktop/cage-songbooks/jolana/blob-23.wav
93440|0.103796|/home/afr/Desktop/cage-songbooks/jolana/blob-25.wav
85280|0.0696994|/home/afr/Desktop/cage-songbooks/jolana/blob-16.wav
102280|0.109482|/home/afr/Desktop/cage-songbooks/jolana/blob-29.wav
41840|-0.0117257|/home/afr/Desktop/cage-songbooks/jolana/blob-11.wav
83480|0.0628193|/home/afr/Desktop/cage-songbooks/jolana/blob-26.wav
75720|-0.100177|/home/afr/Desktop/cage-songbooks/jolana/blob-35.wav
92600|0.214135|/home/afr/Desktop/cage-songbooks/jolana/blob-40.wav
73600|0.0461319|/home/afr/Desktop/cage-songbooks/jolana/blob-39.wav
82960|0.339169|/home/afr/Desktop/cage-songbooks/jolana/blob-17.wav
85600|0.0296538|/home/afr/Desktop/cage-songbooks/jolana/blob-14.wav
