# Content: <DELAY_IN_SAMPLES> | <NORMALIZATION_FACTOR> | <PATH_TO_WAV_FILE>
# fields are separated by '|'
# Lines starting with '#' (comments) will be ignored
45200|2.62168|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-37.wav
110800|-0.835379|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-47.wav
108800|0.834729|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-39.wav
114000|0.921354|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-54.wav
42000|-0.57996|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-61.wav
110200|0.661377|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-49.wav
49400|2.42026|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-34.wav
45800|-0.574764|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-49.wav
0|-0.250093|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-33.wav
41200|-1.32533|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-35.wav
111600|0.834355|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-54.wav
44800|0.367081|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-61.wav
113600|-0.545047|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-49.wav
39600|1.52619|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-53.wav
110600|-0.736086|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-54.wav
53600|-0.522688|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-56.wav
103600|-1.28802|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-34.wav
110600|-0.630979|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-43.wav
51600|-0.427623|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-56.wav
64600|-0.626219|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-44.wav
94600|0.353|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-63.wav
58600|0.399262|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-56.wav
6200|-1.06728|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-35.wav
39200|0.708799|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-60.wav
108200|9.15714|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-46.wav
48000|-0.408935|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-47.wav
41800|0.559794|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-41.wav
119800|-0.56786|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-38.wav
108800|-0.641389|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-60.wav
43600|1.09788|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-34.wav
114800|-0.419954|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-48.wav
53000|-0.383427|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-42.wav
6400|-0.37656|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-48.wav
49000|-0.78517|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-35.wav
45000|-0.77339|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-35.wav
108200|0.524463|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-44.wav
37400|0.31663|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-61.wav
110400|0.384442|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-47.wav
51400|-1.07443|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-34.wav
39400|0.336138|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-56.wav
53800|0.89563|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-36.wav
43600|0.450559|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-54.wav
111800|-0.359069|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-52.wav
112600|-0.79796|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-55.wav
117800|-0.593938|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-60.wav
600|-0.240168|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-42.wav
105800|0.325396|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-48.wav
0|-1.29506|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-59.wav
52800|1.04067|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-59.wav
5800|0.880058|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-45.wav
102800|-0.327048|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-47.wav
122200|0.447864|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-38.wav
109400|-0.239481|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-50.wav
103200|-0.953549|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-34.wav
101400|0.292763|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-48.wav
46000|0.253747|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-56.wav
47600|0.473937|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-60.wav
69800|0.940094|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-59.wav
4400|0.293798|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-39.wav
64400|0.891047|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-37.wav
7000|-0.376155|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-41.wav
48400|0.750933|/home/afr/Desktop/cage-songbooks/mouth_sounds/blob-45.wav
