# Content: <DELAY_IN_SAMPLES> | <NORMALIZATION_FACTOR> | <PATH_TO_WAV_FILE>
# fields are separated by '|'
# Lines starting with '#' (comments) will be ignored
5100|-0.309647|/home/afr/Desktop/cage-songbooks/jolana/blob-17.wav
310|0.118921|/home/afr/Desktop/cage-songbooks/jolana/blob-28.wav
3410|0.0159715|/home/afr/Desktop/cage-songbooks/jolana/blob-2.wav
5060|-0.0749739|/home/afr/Desktop/cage-songbooks/jolana/blob-35.wav
650|0.0105152|/home/afr/Desktop/cage-songbooks/jolana/blob-5.wav
1940|-0.0468949|/home/afr/Desktop/cage-songbooks/jolana/blob-3.wav
4700|0.0454669|/home/afr/Desktop/cage-songbooks/jolana/blob-3.wav
5450|0.029479|/home/afr/Desktop/cage-songbooks/jolana/blob-1.wav
7430|0.0109817|/home/afr/Desktop/cage-songbooks/jolana/blob-14.wav
320|-0.0639678|/home/afr/Desktop/cage-songbooks/jolana/blob-35.wav
70|0.0123259|/home/afr/Desktop/cage-songbooks/jolana/blob-5.wav
1920|-0.0465492|/home/afr/Desktop/cage-songbooks/jolana/blob-3.wav
1600|0.256311|/home/afr/Desktop/cage-songbooks/jolana/blob-34.wav
3140|0.0829672|/home/afr/Desktop/cage-songbooks/jolana/blob-35.wav
610|-0.039535|/home/afr/Desktop/cage-songbooks/jolana/blob-37.wav
8990|0.265927|/home/afr/Desktop/cage-songbooks/jolana/blob-24.wav
9460|0.0401398|/home/afr/Desktop/cage-songbooks/jolana/blob-37.wav
70|-0.0141941|/home/afr/Desktop/cage-songbooks/jolana/blob-25.wav
1670|-0.0330733|/home/afr/Desktop/cage-songbooks/jolana/blob-8.wav
9420|0.0416016|/home/afr/Desktop/cage-songbooks/jolana/blob-37.wav
4480|-0.0105539|/home/afr/Desktop/cage-songbooks/jolana/blob-14.wav
29610|0.11132|/home/afr/Desktop/cage-songbooks/jolana/blob-40.wav
1920|-0.0805908|/home/afr/Desktop/cage-songbooks/jolana/blob-28.wav
8470|-0.042087|/home/afr/Desktop/cage-songbooks/jolana/blob-21.wav
2280|-0.032517|/home/afr/Desktop/cage-songbooks/jolana/blob-19.wav
29680|0.0553855|/home/afr/Desktop/cage-songbooks/jolana/blob-40.wav
140|-0.643343|/home/afr/Desktop/cage-songbooks/jolana/blob-29.wav
760|0.0737914|/home/afr/Desktop/cage-songbooks/jolana/blob-22.wav
7850|-0.569854|/home/afr/Desktop/cage-songbooks/jolana/blob-29.wav
2740|-0.0155037|/home/afr/Desktop/cage-songbooks/jolana/blob-14.wav
660|0.0123633|/home/afr/Desktop/cage-songbooks/jolana/blob-14.wav
370|-0.0185816|/home/afr/Desktop/cage-songbooks/jolana/blob-25.wav
1090|0.0171532|/home/afr/Desktop/cage-songbooks/jolana/blob-5.wav
3070|-0.0667752|/home/afr/Desktop/cage-songbooks/jolana/blob-28.wav
9380|0.0427032|/home/afr/Desktop/cage-songbooks/jolana/blob-37.wav
11960|-0.0456926|/home/afr/Desktop/cage-songbooks/jolana/blob-16.wav
1640|-0.0280795|/home/afr/Desktop/cage-songbooks/jolana/blob-35.wav
8850|-0.208937|/home/afr/Desktop/cage-songbooks/jolana/blob-33.wav
2440|0.0222693|/home/afr/Desktop/cage-songbooks/jolana/blob-36.wav
7180|0.0559045|/home/afr/Desktop/cage-songbooks/jolana/blob-40.wav
830|0.0652971|/home/afr/Desktop/cage-songbooks/jolana/blob-22.wav
7090|-0.410156|/home/afr/Desktop/cage-songbooks/jolana/blob-29.wav
6410|0.115548|/home/afr/Desktop/cage-songbooks/jolana/blob-26.wav
1970|0.0746134|/home/afr/Desktop/cage-songbooks/jolana/blob-28.wav
6800|0.0247977|/home/afr/Desktop/cage-songbooks/jolana/blob-19.wav
810|-0.393481|/home/afr/Desktop/cage-songbooks/jolana/blob-29.wav
3340|0.0279117|/home/afr/Desktop/cage-songbooks/jolana/blob-37.wav
9840|-0.0502562|/home/afr/Desktop/cage-songbooks/jolana/blob-40.wav
2370|-0.0214331|/home/afr/Desktop/cage-songbooks/jolana/blob-2.wav
17600|-0.169687|/home/afr/Desktop/cage-songbooks/jolana/blob-17.wav
8540|-0.0358707|/home/afr/Desktop/cage-songbooks/jolana/blob-21.wav
10820|0.0979997|/home/afr/Desktop/cage-songbooks/jolana/blob-26.wav
9060|-0.0193038|/home/afr/Desktop/cage-songbooks/jolana/blob-36.wav
80|0.029923|/home/afr/Desktop/cage-songbooks/jolana/blob-20.wav
330|0.045612|/home/afr/Desktop/cage-songbooks/jolana/blob-22.wav
1550|0.158534|/home/afr/Desktop/cage-songbooks/jolana/blob-34.wav
1770|-0.0470627|/home/afr/Desktop/cage-songbooks/jolana/blob-35.wav
7640|0.0328509|/home/afr/Desktop/cage-songbooks/jolana/blob-26.wav
5100|0.217554|/home/afr/Desktop/cage-songbooks/jolana/blob-17.wav
