# Content: <DELAY_IN_SAMPLES> | <NORMALIZATION_FACTOR> | <PATH_TO_WAV_FILE>
# fields are separated by '|'
# Lines starting with '#' (comments) will be ignored
22860|-0.0177652|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-13.wav
10265|-0.0163716|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-23.wav
55075|-0.0317808|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-3.wav
68360|-0.0212291|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-8.wav
122675|0.02371|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-25.wav
14970|-0.0123976|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-11.wav
83420|0.022089|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-25.wav
5875|-0.009184|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-10.wav
30450|0.0247817|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-12.wav
69890|-0.0307659|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-3.wav
69605|0.0300808|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-7.wav
98835|-0.0272795|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-25.wav
19535|-0.0105391|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-29.wav
78755|0.0280092|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-30.wav
25365|-0.040624|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-31.wav
8295|0.0131085|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-11.wav
23940|-0.014534|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-19.wav
25510|0.0482099|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-31.wav
16075|-0.00893547|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-20.wav
68980|-0.0292817|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-9.wav
24540|-0.0374205|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-31.wav
17110|0.0229287|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-12.wav
28290|-0.02034|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-6.wav
8275|-0.012349|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-23.wav
55945|-0.0253176|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-24.wav
46580|-0.0211994|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-18.wav
14295|0.00983132|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-14.wav
81340|0.0190181|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-6.wav
26050|0.0132891|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-11.wav
85560|-0.0202601|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-25.wav
44070|-0.0120265|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-19.wav
56075|0.0185716|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-24.wav
7430|0.0290844|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-12.wav
7310|-0.0315911|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-12.wav
16645|0.0274719|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-21.wav
99545|0.0295572|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-7.wav
1790|-0.0124772|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-23.wav
26590|-0.012472|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-11.wav
40180|0.136221|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-32.wav
17280|-0.0196083|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-13.wav
9635|0.0281312|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-3.wav
10015|0.0127749|/home/afr/Desktop/cage-songbooks/blobs_aoife/blob-28.wav
